,text,ext,neu,agr,con,opn
426,well leg kind hurt last night hot tea leg hurt like hell came back laying bed dinner meal leg burn right upper really hurt took shower last night today hurt much really huge know pop emailed mom work wonder miss much miss guess quite home body live minute away yet miss everything around house especially miss stephen he guy ive crush like forever sophomore junior ended physic class anyway soccer team thought cute need desk chair jester suck cant even sit cross place beginning smell know like cant shake everywhere back stephen work together past two summer kind funny even remember really thinking end summer summer friend start wanted never acted well though considering boyfriend well know love stephen sure hell miss terribly almost cried first day missed everything much gave email address suppose better thing talk maybe computer thinking well get see thanksgiving thats say month away suck even cute pain butt well going home weekend company leave friday know going say andy yeah want home bit know ill miss bunch thing happening ask think cant answer he boyfriend weve together eight month love truly sometimes exciting like know well something probably attracted stephen he new party friend wanted kiss goodbye would wrong plus probably even think way would embarrassed know seriously think something soon ive saying summer really beginning effect relationship driving crazy drill woke first day theyve ever since tried take nap today noisy drop soon hope least feeling going get bored place soon laying bed homework think cant believe college feel old enough think handle though gain freshman though stephen want look good great people come back college labor day thanksgiving guess gym need sign class need money bank account also need sign service frat hope pick especially got many club organization think got thing probably sign soon,1,1,1,0,1
427,time need house ten mouth feel like sensation get right throw say make mouth dry quiet right stare roommate applied calculus book lost color bright color various shape size make wandering eye wonder write assignment god could really use shower seems like sweating day wonder roommate roommate feel sea clothes sit roommate computer wonder picture ever really picture taken somebody computer picture taken wonder thinking probably thinking ridiculous human actually probably thinking best area eat grass like assignment much feel like look color man shape know kind cool put paper thinking,0,0,0,0,0
428,short amount time changed kid major worry self feel really grow believe time got screwed called friend first time first senior year well meet guy named kurt indian shared common interest however new town girl friend however dating one girl year well girl forget beautiful summer worked life taught swimming lesson morning ton money family left europe house sit problem making money full tool work car basically house friend graduated year earlier friend past year well meet kurt end summer became good friend going start school fall everything great got home said kurt thing early friend however finally told either break decision help kurt broke dating new girl friend every two day kurt dating two girl well kurt started dating thing physical thing stop see influence kurt stop hanging five month road new group friend grade younger much luck girl letting meet friend town tight group two month one guy group named justin think sexual relationship girl like neck week really bad scratch mark back well think something going start fight school break nose front entire school later next week kurt girlfriend break next day kurt house hang stop three week girl everything well want get back kurt brings story way back past dating long time ago said house well party see kurt tell kurt get mad try fight house party kurt guy big well talk black eye close since anyway dating really nice sweet girl intelligent pretty hope stay good,0,0,0,1,0
429,used day dream time younger saw brother sister leave college decided going best part life course lot different lot responsibility reality dream really mind far want able handle excited class wish could every subject take psychology interesting enough want rest life brother degree psychology texas done much taking class social science class required major right major class engineering course pretty sure want major engineering seems large amount subject material interested would job pay pretty well well enough get school would love follow course taken high school college seem best one favorite subject astronomy history would love second paid well enough reason eventually would like large spread land hill country somewhere west boat requires love want live away city yet close enough could drive town thing probably common among people really care enough rambling reason learn get education well hard though love fun easily get way joined fraternity gone rush yet even though friend frat keep bugging want join organization fun kick as lot thing hopefully work thing mind moment least move next thing,0,0,0,1,0
430,tried three different occasion pretesting class stupid computer tell try later try later already going way come first place dad brought computer home yet come need get online check email whatever class seems everything done computer day take class instance writing assignment force actually paper anymore done mentioned absolutely hate computer think theyre useful exactly friendly well actually willing friend think like much home thing knew check email write people back yea also knew get word thats many option understand giving option theyre really instead helpful whoever made computer must smart sometimes think thing technology live every day life mind world forget name come called telephone mean even dream actually make work sound crazy world world people much intelligence know fact would earth sometimes wonder world would like none technology think technology bad thing mean come like know people think terrible religion allow light radio home like devil whatever see people believe thing mean wake think talk perfect thinking better sense thing lot maybe life confusing thats probably taking value moral problem psychology cant wait get know better,1,1,0,0,0
431,ive always wondered mind work people really thinking say one thing say one thing mean another people confusing wonder college life like people act like say one thing meaning another overwhelming right computer never strong point sudden everyone want everything done computer strange somewhat exciting like living without parent watching everything beginning get little homesick miss able see star night feel breeze face blow hair back neck went star party last night star barely wanted much able see felt like could cry moment though friend would laugh think ill make guess somewhat daddy girl alone enjoy able hear sometimes alone write poetry think wonder ill figure want somebody important someday want make people feel welcome make feel good helping others guess way whenever try make others feel good purpose making feel good suppose thats okay seems purpose helping others really helping think life many point one ever find wish could search world could find secret history people action never happen people much history lost people claim found there got exciting history would world like everything interesting discovered would nothing wonder thing would dull future wonder somebody across world taking exact course writing exact assignment right would coolest thing ever wish star every night feel life wonder another woman exact feeling thought look exactly like another color maybe size many question ask never answered someone watching right across computer lab wondering feel thinking moment knew maybe could meet person tell thought would love share someone know afraid though many people campus hardly anyone talked yet somehow feel know everyone people seem rude try talk people class make friend far made one friend way really nice name met german class get along really well done anything outside class maybe keep talking well become closer maybe shell even home visit parent understand need human contact would much better get caught emotion feeling human happen know could need anyone else world fault thats okay though everyone fault part human hope world full exciting adventure come close writing feel frustration good cry afternoon miss boyfriend much know ill see soon make happy hope become even happier hopefully ill able find,1,1,1,0,1
432,even computer slow crappy cant hold number people time time cant put chip smart business sold computer work worth crap replace sound card pretty right moment feel like writing assignment buy first aid get new work started working long mood space computer finish assignment class complicated lecture textbook reading care every method psychology give hope really reading entirely mood write anything make sense think nothing else dislike computer name let tell little got married therefore thinking husband especially walked door apartment austin miss father birthday forgot felt like cry day miss mother birthday coming truly know father age older mom know divorced guess lost count austin extremely lucky got best parent whole world truly mean love also miss brother youth center right much better want start working career hard time lot thing sure strong year younger learning hard time highschool let tell come knowledge talent ability awesome center help get job good enjoy well probably tell love family importantly love god sent son jesus die sin accept believe return given life use time,1,1,1,1,1
433,first took long time get austin traffic got home called jenny ready come came anyway even though leg kind bad next still deal fact messed around justin one supposedly good friend kiss still really hurt told would never happen kevin messed around lied cant believe told fact sex heather back summer really happy thats still love really putting test weekend later friday night told liked justin happened much accident first thought come find gotten drunk apartment called justin come thats kiss happened really hurt told still wanted sex agreed know middle started cry really hurt told even want come college station apart know handle started yelling know calm tried calm nothing worked still cant believe mean saturday morning called thought going leave without calling like said would told changed mind want started yelling really hurt like never hurt believe anybody could hurt bad could called justin got ride college station took hour half eat lunch lost miserable could see got desire party wanted talk jenny could apologize said ate like half dinner good want eat went party miserable people drinking wanted talk jenny finally gave number cell phone called amy let talk jenny kristen answered let talk james brother let talk really hurt got brother number justin given really hurt gave cell phone number brother number justin wanted cry fair justin called come party phone really say anything one thing loved anything life including even talk never felt bad wanted hole die stay party act happy finally came even roommate hate afraid let know fuck amy hate bitch never liked want beat fucking head stupid dirty care hate hate feel bad hate like really regret saying anything bad came tried start fight jenny friend fuck bitch act like stupid dumb never give anybody anything like pretend like really like anymore still hurt want friendship way home got ticket talked jenny got hug justin want let even say goodbye hurt back ticket going fucked dad find call sunday like said would really hurt wanted call bad wanted bad even funny monday talked two hour great made liked much call last night called morning woke love called tonight yet really want talk hope call tonight stayed waiting last night fell asleep tonight make choice going bed early tonight,1,0,0,1,0
434,started kind good school started worry relaxing working enjoying life another school realize necessary evil without never life hopefully one day work want work try make best life enjoy every day like last know start mission statement right also wanting put together philosophy would road live life wish easy anyway mind work kind like release often recently thinking great deal include limited ability speak limited athletic ability fact want part want admit accept part say always keep positive refuse accept point life know ever fully improve much would like seems hit potential guess keep hope moving subject wonder ever find woman spend rest life relationship require much work may willing put bother want year old lonely sometimes realize fault emotion feeling part price pay human,0,1,0,0,1
435,almost five hundred mile home know anyone sure feel loneliness constantly surrounded people dorm feel home yet people nice know everyone else position really feel place really want home around people grew feel home many regret coming away friend family realize great school background greatly suppose worth sacrifice long thing maybe better away everyone else help become much independent learn function alone ive already learned lot week since ive feel ive grown lot ive everything force meet new people trust issue become worse however used trust almost everyone sure trust trust know stick ill grow love place love learning new experience definitely going get thing always transfer back home next semester adjust well love people seem friendly feel ill eventually make many new friend place seem like home cannot sleep eat yet think adjustment nightmare try sleep ive grown accustomed hour sleep week every time try eat get sick feeling seriously hoping feeling away soon maybe due homesick place feel comfortable yet want home long weekend think make much harder come back think ill want leave home return maybe people left behind miss think mostly always knowing someone everywhere make feel comfortable back hometown top thing exboyfriend call often make difficult still best friend tell everything reason together different college choice talking make want return home even plan get back together soon graduate thats long time seeing often going hard ive known year upon everything went someone else past weekend felt bad even though together know he one want wonder wrong even date people know still love always made feel bad talk even told say know confused simple answer anything try everything seems kind maybe sink study forget maybe set aside hurt feel right think give try maybe start exercise program tired night might make get rest little bit maybe try get building seems cold think another place might better well know faith god everything work best put complete effort best,0,1,1,1,0
436,ive spent second day university texas trying hate feel lonely depressed miss miss knowing everyone class whats going school first went hated professor involved life know extreme feel like really miss kept looking familiar face even friendly campus today everyone look different people boston actually look different form kind people know feel unsure situation expect cant look someone judge ill like see anyone fit idea friend look like one look like good lunch yesterday feel alone different look like people say course guess feel like understand motivation coming form mean know expect glad came know would totally alone think really different experience ive never friend trouble meeting people even know start million people class small one upper people already seem friend expect miss much thought kind fun would lot people nearly everyone ive seen hate never thought guess ive realized along maybe remembering thing something mean know plenty woman drive wall know deal least open mind something interesting got place else say argument mom feel really guilty seen lot lately really looking forward seeing today soon started hate told going use computer web stuff tell cant right middle assignment totally annoyed feeling loneliness acc worked summer came idea computer lab campus thought would nice see everyone feel like still someone feel like hell think want cry always feel crappy since usually really stupid reason like feel like jerk something god feel like telling everyone today way start semester trying think something little stop excited going swing dance tonight hope really want eric sure want want hardly know lot plus sick getting hurt think might like he feeling lonely right know right someone someone serious would big deal sure keep going head cant find right one one marry anything serious one really like one fit want teach who nice funny interesting ridiculous feeling really stress time came cant fully concentrate thinking amazing mind ramble something one thought brings another another thinking something totally different started ramble cant really remember got,0,1,1,1,1
437,past always set instruction follow well go guess right back beginning summer sitting room paso texas summer really good got home talk friend addition able work get history requirement everyone want get job thats okay really know getting good job see feel almost credit able get decent job one guy know making even college guess easier people others promised everyone would get company next summer thats kind cool going completely new experience guess could call friend parent business ask see could get job good want able say know natural want get parent wing seems take forever blessed though done well school comfortable place live food eat clothes wear sometimes bother movie going see weekend subject people earth cant even find enough eat wow really getting deep want become dear kind assignment guess best thing change subject interested assignment assigned certain deal psychologist people interested psychology always feel like everything say bother well hear neighbor turned stereo system back subject hand nearly stressed semester like last year guess thats pretty cool adjusting whole college thing pretty well least know going school city everything else life mean everything figured least last year interesting look around see freshman look panic eye realize exact year ago since brother friend mine moved austin started attending graduate school engineering feel certain help awful exact situation without anyone help anyway guy really cool think really good friendship develop friendship something never enough money cant buy good friend even though people try replace friend benefit never work used know man load money guy really never happy however ever asked would never admit unhappy guess really sad miserable one thing miserable really know something completely different think possible situation miserable also believe knowing miserable neighbor turned stereo system thank god little thing really understand people always depressed ive period feel ever call friend turn television program like work thing situation believe american need drug make feel better well guess thing change even though scare kind cool see many people make feel like life know changing hard really like change however always seems better course time change prof change worse go opinion changing wrong believe person experience thing life offer least way say theyve done addition theyll know know always feel awkward conversation turn kind conversation one really know say really bad seems like many situation really know future store excited easy look back past think day day everything easy unfortunately day different today way always memory memory time go understand past many people know couple people want good past awful present thats pretty sad think need start living today worth thats try guess minute kind interesting experiment entirely sure result really know know possible know many different side would drive person crazy try cant even,0,1,0,1,0
438,know there nothing wrong write still feel like whatever writing may mind starving soon finish ill get eat came back calculus least minute walk away dobie think going learn much professor calculus ever explain hell he trying like today guy tried ask almost jumping ahead really frustrating first say something writes make really mad waste much class time writing obvious even he said ten time tried taking note doubt theyll help always loved math frustrating friend also life tiny hometown suitemate named last year said horrible knew two people got class telling writes every little thing see mean also said test nothing like homework know expect hungry right eat much morning never hungry first wake roommate really sick throat mean itll matter get system never good know know never really much never seem much energy mom always thought test show supposedly weird whenever walk around campus keep seeing people know well really know recognize orientation somewhere like usually get know many people tend little shy side people always well still waiting fact there could change probably everyone say make shy sorry know ive tried tried around lot people know bad like high school knew everyone school small school weve together since never bad love public speaking anything lot attention always pretty around everyone feel kind lonely cousin sophomore say way year cant even reach one older friend know problem friend called never called back know get message calling back want friend spend lot time together eat together stuff already form little bit least going football game together looking forward game miss football never played last year somehow always feel like quiet hope quiet easy family whenever older brother would talking mom would always listen ignore matter saying left room honestly thought younger whatever say cant possible important he saying could telling house one fire telling drove town listen get wrong always great mom always bothered maybe really believe thing sometimes read end thing true anyway read one first never typical like say say theyre outgoing time shy well one read computer said way hurt feeling ignore thats true one friend total asshole usual forgive pay think many people life count thats really need know there anyway fix long year sound like call let high self time often feel like alone world fear ill never find anyone love like husband see people manage meet ton guy always alone girl even appreciate know would maybe back thing really know wish whoever tell know want life hoping class would help know part want business time get accepted business school may change mind natural science thing premed right know last lazy take get going back school even though two class senior year graduated long shot never work hard school stuff came naturally,0,1,0,0,0
439,right feel like kind pressured thing right first assignment class want mess hate feeling think something right turn assignment teacher say assignment wrong especially ask teacher long suppose say care turn tell short well anyway guess getting topic tend lot sometimes right feeling bit hungry cause ate small bit food breakfast yes feel well cause slept till noon speaking food reminds lady work cafeteria place staying like much said something front face another spanish understand said let tell take five year spanish learn understand language also work hispanic people learn pick word really pissed said really fact would say language thought understand importantly still thing past know learn let little thing like lot emotion long time eventually away besides glad know whether feel never mind forget said make sense hard explain know wish could fast think cause time finish sentence ive already thought something else think mind think fast feel old ive noticed recently ive begun forgetting lot stuff important stuff little information would normally remember usually could remember lot pointless thing take little wow wish could write paper like time fly know think stuck topic mean kind mean chance someone sitting front computer ask write feeling instant theyre probably going little moment unless theyve feeling like date case guess far ive kind tense worried assignment might boring take time write mean twenty minute guess twenty minute much also worried computer lab might full worried might able connect site afraid site might ive heard horror story guess worry much consider life fear make think thing wrong plan ahead time think wish could say little sister seems like never think ahead consequence action well time fear submit button work properly,0,1,0,0,1
440,rarely sit front blank screen start writing without idea word going point really wishing could get peace quiet ive always lived extremely quiet house guess took granted however despite study party room present state life home weekend ive austin two week feel like home house like place visit occasion cant decide whether good thing change life bother whether bad thing either way going completely write anything running mind would take long explain usually tell story anyway subject guess ill write best friend go seeing week sister wedding seems strange without talked everyday highschool four year thats long time however feel like relationship distance always believed got see inside center someone make tick make unique relationship never end inside someone never change stuff put show change whats inside people looking forward wedding though feel like seen long time second topic dating really looking forward dating college mean new girl wandering around least interesting however bit strange think dating month since broke last highschool girlfriend damn hot room well exgirlfriend subject going guess tough time talking past always figured everyone past memory either glass rather think right memory nice occasion anything else whats really mind right making good grade losing social life mind process really think difficult though study something enjoy really work instead energy give energy new thing learn new thing love really clue long ive writing assume pretty close minute mental note self pick new pat green dad tomorrow call well stream consciousness deep stream damn mine end remind saying wise man said never play man named never eat place called mom never date woman anywhere body never try teach pig sing stress annoys pig finally ultimate truth always every time jump thank lady sure tip good night,0,0,0,1,1
441,weird usually people could visit one home brother stuff last year kind weird role also frustrated normal would course family decided take vacation town weird frustrating able call see guess part annoying girl seem need get habit hour half driving back bringing roommate also friend whole situation work exactly planned going stay whole weekend ride got messed bring today chris emily disappointed would feel guilty stayed instead actually kind want stay home awhile actually get stuff done relax also torn way whatever mind strange sometimes also feeling stupid writing thought going kind disorder ive written question computer frustrating really getting nerve allowed complete pretesting requirement first even access screen social security number could accept name frustrating ive tried different computer trying access well hopefully finally figure ive written thus far worried say right wrong thing say done completely opposite assignment make slightly nervous content quiet area right thought seem loud since hear activity going assignment actually kind ironic usually write everything head like thought feeling help sort thing usually anger friend never know upset say anything write figure yet typing seems forced write thought guess typing unknown feel self conscious write thought calculus homework ive trying work past hour try understand something completely fail understand little bit nothing progress toward problem guess something miss miss smaller class always lot discussion interaction guess way selfish cant help feeling way well guess still transition used everything sure much like everything well guess thought random sometimes train thought lead comment question sometimes mixed completely nowhere cant even believe think thing sure bet psychologist somewhere could figure,1,1,1,0,1
442,high school felt smart face lost crowd many friend went different college new people know friend high school hang feel like like ugly fat freshman high girl even pledge class girl know camp home made friend though feel like story depressing one really happy person enjoying away home thought coming college would somehow escape whole social thing obviously society river grand senior class much higher society hated liked guess mainly liked control feeling attention went public school private like people came really friend people know girl home pledge live house live tower feel like feel somehow girl look seems like girl house allowed part group sometimes want home felt belong excited college anyway feel young going home would show cant cant show want interest always strong show emotion sick like want good school show parent person really happy guess cold foot going take time adjust become person know grade mean giving party two ten make succeed forever changing growing need find individual rather hide behind shadow comfort zone,0,1,1,1,0
443,first time night got without number busy spent whole night homework well day really hungry right suck open right really happy got girlfriend last night went call depression lost week would eat maybe one per day really cut hair took week grow got short note last week saying wanted get called talked sunday night went one best concert ive seen long time think might buy starving wish could get bite eat tomorrow class really suck every morning roommate sleep till noon fair think call tomorrow talked since sunday miss cold room right last night roommate brought friend trying study rude need diet saw really fat guy concert last night least hope take shirt middle show otherwise thatd gross getting sick listening jam really tired maybe skip early class tomorrow fine around started becoming really understand always tired take hour fall asleep well going bed,0,1,0,1,0
444,ever since first day school august felt much fear never hit hard right typing computer knowing one person around yet thought hard explain day bad good depends day class grew small town went school whole life graduated people class psychology class close overwhelming made new friend still feel alone live boyfriend campus hard feel alone parent seem forgotten already time senior year come brother go near worth best friend go texas college station taking favorite class swimming really bored want shopping get done writing assignment english last class today ended early really bored minute gone tired writing hate seeing little rich girl clothes walking around campus piss screwed moved apartment early morning lab signing use computer told got computer stuff computer screen number know use bitch come start freaking computer people piss parent taught respect everyone seems thing need rude get thinking texas went help move best friend apartment best time ive ever went bar drank bar fun could never get away austin almost time stop going shopping little money cant wait get boyfriend name jimmy going acc spring get degree already one want degree get money almost time stop almost time stop almost time stop home labor day weekend glad party lake house taking boat skiing cant wait well time stop ill,1,1,1,0,1
445,course thing could much worse mean could real writing would totally suck thinking want ask guy come show friend boy toy whether probably emailed mom never used email quite experience course wondering hell supposed get little disk stupid computer computer person know college kind suck man like much freeze stupid room outside wonder everybody get sick anyway blah blah roommate meeting even though love roommate death course feeling problem one big happy family speaking miss twin brother lot he chicago art chicago love tell people damn proud god typing suck ive probably going already little mistake good right slow typer jesus christ man wonder next assignment nice day man peace love around,0,1,0,0,1
446,know many people already feel made many close friend spent lot time whether join fraternity decided wonder right idea tried think positive advantage negative joining frat came conclusion would time consuming see lot peer greek organization seem lot fun frat talk time know made right decision nothing pledge period already started make best situation confident hoping work close friend hometown fort worth fraternity plan hanging lot find plan joining student organization group excited people sometimes feel everything going especially since dorm tower majority greek always something person though everything successful enjoyable year school austin worried growing religious world united state month group two group destroy state scary people throughout world leader group support financially organization group well support many middle east popular whatever take achieve goal call total free people state see see nation world intelligent people know peace country respect right religion growing support movement one responsible act throughout world instance week probably behind nail killing many also week plan government new based religious law poor middle east country extremely high people nothing positive look forward turn movement happening right united state religious leader like pat calling school religion public make united state christian nation passing favor religious right happens wrong country church state purpose keep america nation right wing trying change country learning might good religious dangerous society freedom nation like united state part problem stopped affect everyone manner,1,0,1,1,0
447,know expect best friend father passed away monday really worried family mother work college without much financial aid hope able continue school know whats going happen scared face though cant see family whole without father always close one another could share anything relationship family broken early age father mother divorced two three actually even know divorced really cant even picture parent together different guess friend family never close relationship member family feel alone inside parent house went friend house though always open never tension anxiety see family like could torn apart actually people think there reason everything people believe part god plan personally idea reason higher purpose could man death maybe reason maybe human natural search reason cause purpose could human merely another face planet know james father know answer question life funny question life found death dead still cant come experience never happen people know guess hell happened five minute remember left coming back austin second year shaking hand hearing wish luck man dead remember death part living death price life face sometime guess going happen prepare anything know way could prepared would known going die would tried stop happening would wanted keep living death common human try hard rather happening cant say want live could live happy part answer well guess ill prepare death mean better start living life,0,1,1,0,1
448,mean like really burning got really huge headache need medicine wonder going right wonder football team think beginning like lot better houston humid enjoy air austin well like getting bad like wonder like one anymore whole life still hmm wonder back paul long fit stuff good hope get computer soon finally feel back contact rest world hope get really awesome computer finally quit roommate use computer asking use like big plan computer thats see baby got going whole different ball game even though problem roommate first thing little better actually open door wide open forgot laundry better back ill clothes everywhere got get cd friend back free game computer ultimate hook food get back jester food really get swear sometimes think something cause usually eat like lot jester eat get full food think healthy find going gregory gym often never used workout high school cause pay get good thing gregory free long student feel high school played tennis high school get workout want continuously playing get burnt easily way,0,0,1,0,0
449,summer surgery shoulder currently therapy pain experiencing right pretty bad used bear pain pain relatively also anxious get normal daily training body screaming training body problem problem soul mind really miss want come back kick as also anxious start studying looking forward semester like class feel excited school want get great grade year thats think moment home sick want home home christmas want right want family seen family year really miss want friend see every day home wait see baby recently want see well known friend year close hope see soon,0,0,0,1,0
450,really think professor funny hold class attention listening dave matthew never really big fan recently roommate best friend also taking class love dave matthew asked concert month heard song even though crazy agreed two week concert really good friend moving houston graduate school dave going houston friday austin saturday roommate decided sell ticket would help justin move see concert houston way houston blow miss concert saturday back austin bought ticket several beer somehow got friend found cried think anyways happened right place right time guy came brought front stage pushed front managed convince give pas end show took gave flower showed dave one freaking came talked signed ticket thing left came five min later talking somebody saw come felt hand right one dave signing chest thought would voice sexy later right left came love marry one day sorry wasted ten min story guess point entry see many way brain go thought something else crush work like long time mad work today yesterday work friday even know anything thats probably like last guy dated gay admit know seeing anymore usually talk guy much reason brain tonight set email account today soo excited parent bugging get one using friend computer right internet set friday really hope one read horrible shit know make sense one care read chapter english jealous,0,0,1,0,1
451,fact always think whenever spare moment every thought far away yet heart close read poetry tonight love could think beautiful long next time see seems like yesterday met first time talk constantly friend point either sick hearing know almost well know best thing seem sad time literally maybe literally hard explain love life hate leaving really hate know explain like guess little dislike nothing cant handle wish seem fair see friend significant others next always special moment life wait least week call bill expensive otherwise come back knowing full well cant seems help sometimes hurt time special wait forever people think everything sad lot know degree healthy moment walked airport heart stopped smiling since day part gone although smile outside inside sad day sweet take smile day far away long guess best part sad feel better thinking future thing soon think future get sad thinking wait another month think time alone without much friend great none really one true friend friend roommate several people care pretty much stopped trying much past feel friend someone else feel come talk need something something wrong used try much past month stopped trying may answer something come tell friend need called see friend telling simple hello calling randomly check everything cool favor never really returned care much still someone need could never friend care much people lead back girlfriend one person always care feeling always know something wrong bothering always want take care love return feeling back love want anything ever happen check much kind special cant let good moment like get feel better situation know everything fine end moment life much worried end maybe worried best word wish spend time could eat dinner together see movie together study together love together couple thing friend thing seems point like miss like crazy think going nut without know strong end much mind end journal entry good note feel good everything,1,0,1,1,1
452,right paragraph form write sentence structure even spell right put grammar punctuation assignment talk anything understand point assignment care long finish guess ill keep typing typing typing right feel itch ill scratch arm typing friend computer cant use least another minute think understand point assignment could nobody would care assignment twenty minute whatever think keep thinking know care long finish started ill stop man another fifteen minute finish tired want back sleep need laundry clean bathroom homework reminds much homework understand anything calculus worried class final fifty percent grade understand teacher would like semester grade depends one test making class final could end really screw final kind class know scared study hard final first understand material right behind good thing final final week study hope get class want homework reminds behind class read much like read think going crazy need write assignment second writing assignment read theatre calculus homework read class peer review sheet english chore around house much little time minute pretest survey see survey used messed start reading top survey tell answer fill middle think survey think girl since answered female question except checked male box asked whether male female kept asking question hope get trouble doubt since probably people exact thing there always somebody else hope get put strange something understand survey ask question think something answering female question know thats answered except one question asked guilty eating girl like hold whats going survey think girl damn well whatever everybody make mistake going come friend staring assignment right saying easy assignment well guess finger tired want anymore minute left going take break writing assignment number finish ill take nap start calculus man much work started earlier instead playing first week school well time goodbye,1,0,1,0,0
453,thought would ive friend many time actually finally true away parent great live three great girl suite popular ive always socially outgoing person feel like going work always large number people living room bringing food beer refrigerator everyone told girl another room got upset roommate ate store bought cooky without asking called mom upset glad like like there always noise party decide one person want read study sleep really considerate hope last pretty sure building many foreign student always plus come mind foreign accent every guy one always watching room another thing cable get channel sit around watch one way good argument channel watch maybe compromise floor meeting night issue come funny almost room one guy came life house use laundry he one friend roommate weve friend since long time huh anyway dropped like half box laundry one noticed week got mad cleaned even live another thing incident given couch suite living room maybe seat people lucky floor front elevator large couch block one ever sits could probably seat one around suitemate people happened room time helped move little couch hall around corner large couch way knock make without door across nice couch well used room check find going use kind double standard anyway head always room hanging drinking beer crush always brings stuff mention couch others let cafeteria night pretty funny one night night door someone made noise opened door stood head stood behind door got probably best interest seen he building changing management right he head guy odd finally could management position pool summer next summer seems odd really adult kid never think ever going get point decide come home situation thing like transition high school college really much change independent feel good finally independent financially physically emotionally wonderful responsibility responsible watching one well thats probably true know guess trying freedom wing always security blanket want want want independent right hope stay way,1,0,0,1,1
454,class interesting psychology class took high school rather boring planned psychologist perhaps taking class turned idea class interest caused begin thinking finally point looked watch realized typing three minute sure else say first idea came head car nice car also quite fast used belong father gave got point began job still fully complete high school experience strange one spent first three year texas senior year move oklahoma realized mentally thought difference society people hundred mile part much glad college class expected succeed one must self motivated finding slightly difficult get thing done time cafeteria food another factor mind first time like food next hungry anything eat cafeteria closed reason know nothing coming mind dull computer screen time finish saying cant think anything finish,1,0,0,0,1
455,know write really bunch thing mind eaten breakfast yet pretty hungry fear might never get around assignment seem difficult sometimes trouble thinking thing say going calculus study session think mainly review already learned high school roommate friend called somewhat interrupted thought think roommate like much know sure always call roommate theyre really feel confident relationship others generally think time spend person become somehow person ive waiting read book time friend finished gave think everyone read aint nobody business free country book also aid cancer using purpose california state law thrown agree ridiculous think wrong he got recently parking lot next jester parking traffic park side red river better yet think stupid upset plan writing letter david parent finally came bought computer school one main reason able assignment feel comfortable writing kind personal thought computer lab full people parent got good computer low price work dorm room think everyone satisfied wonder computer another meeting new people especially girl plenty girl use computer really get enough know make effort almost feel trapped situation meet enough girl hang around enough,0,1,0,0,1
